"fips_code","PERMA_nointerp"
"00000",5.26839000000000
"01001",5.90227000000000
"01003",7.14646000000000
"01005",6.47627000000000
"01007",5.73269000000000
"01009",5.81590000000000
"01013",6.22794000000000
"01015",6.53191000000000
"01017",6.27235000000000
"01019",6.06032000000000
"01021",5.67948000000000
"01025",5.89447000000000
"01027",5.82924000000000
"01029",6.72145000000000
"01031",6.70451000000000
"01033",6.47249000000000
"01039",6.06079000000000
"01041",6.17803000000000
"01043",7.01146000000000
"01045",5.62208000000000
"01047",6.54474000000000
"01049",6.13622000000000
"01051",5.71639000000000
"01053",5.99698000000000
"01055",6.59524000000000
"01057",5.99193000000000
"01059",5.49531000000000
"01061",5.73364000000000
"01065",6.29630000000000
"01067",5.84242000000000
"01069",7.08193000000000
"01071",5.73029000000000
"01073",7.54617000000000
"01075",5.96388000000000
"01077",6.55520000000000
"01079",6.15961000000000
"01081",6.89087000000000
"01083",6.56265000000000
"01087",6.82747000000000
"01089",6.99698000000000
"01091",6.34009000000000
"01093",6.17988000000000
"01095",6.45956000000000
"01097",6.52843000000000
"01099",5.80026000000000
"01101",6.98036000000000
"01103",6.43927000000000
"01105",6.38491000000000
"01107",5.87441000000000
"01109",6.83372000000000
"01111",5.70262000000000
"01113",6.22980000000000
"01115",5.96438000000000
"01117",6.83729000000000
"01119",6.57661000000000
"01121",6.17587000000000
"01123",6.52458000000000
"01125",6.98326000000000
"01127",5.93463000000000
"01129",5.89382000000000
"01133",6.34924000000000
"02020",7.08278000000000
"02090",5.70760000000000
"02110",6.45622000000000
"02122",7.36802000000000
"02130",6.84404000000000
"02150",5.45886000000000
"02170",6.40406000000000
"02185",5.47287000000000
"02220",6.29601000000000
"04001",7.00200000000000
"04003",6.15723000000000
"04005",7.68231000000000
"04007",7.45508000000000
"04009",5.31272000000000
"04011",5.57524000000000
"04012",5.42336000000000
"04013",7.47236000000000
"04015",6.61021000000000
"04017",5.83449000000000
"04019",6.22020000000000
"04021",6.03976000000000
"04023",6.64081000000000
"04025",7.51075000000000
"04027",6.40821000000000
"05001",6.20997000000000
"05003",6.11795000000000
"05005",6.78128000000000
"05007",7.52212000000000
"05009",7.59584000000000
"05015",7.62689000000000
"05017",6.57870000000000
"05019",6.75879000000000
"05023",6.23673000000000
"05027",6.45728000000000
"05029",5.82474000000000
"05031",7.15029000000000
"05033",6.26454000000000
"05035",6.58143000000000
"05037",6.69541000000000
"05041",6.30153000000000
"05043",6.26622000000000
"05045",6.90534000000000
"05051",7.47449000000000
"05053",6.35141000000000
"05055",6.09028000000000
"05057",5.77625000000000
"05059",5.39003000000000
"05061",5.76507000000000
"05063",6.50889000000000
"05067",6.00502000000000
"05069",6.47946000000000
"05071",5.88796000000000
"05075",6.39032000000000
"05083",5.85578000000000
"05085",6.37382000000000
"05091",6.29132000000000
"05093",6.35786000000000
"05103",6.46244000000000
"05107",6.51350000000000
"05111",5.83031000000000
"05113",7.65980000000000
"05115",6.87077000000000
"05119",7.17571000000000
"05121",5.89127000000000
"05123",6.27371000000000
"05125",6.59848000000000
"05131",7.10777000000000
"05133",5.85829000000000
"05135",6.22668000000000
"05139",6.43345000000000
"05143",7.58670000000000
"05145",6.86045000000000
"06001",7.26369000000000
"06005",7.30657000000000
"06007",6.61995000000000
"06009",7.64302000000000
"06011",5.57726000000000
"06013",6.98904000000000
"06015",5.84279000000000
"06017",7.39129000000000
"06019",6.14958000000000
"06021",5.48368000000000
"06023",6.45115000000000
"06025",5.95423000000000
"06027",7.27692000000000
"06029",5.66353000000000
"06031",5.55087000000000
"06033",6.45681000000000
"06035",5.54517000000000
"06037",7.32317000000000
"06039",5.69047000000000
"06041",8.70168000000000
"06045",6.74184000000000
"06047",5.52377000000000
"06051",7.27237000000000
"06053",6.32953000000000
"06055",8.09314000000000
"06057",8.30863000000000
"06059",8.03571000000000
"06061",6.95251000000000
"06063",6.15437000000000
"06065",6.37818000000000
"06067",7.05432000000000
"06069",5.93882000000000
"06071",6.20159000000000
"06073",7.53291000000000
"06075",8.24756000000000
"06077",5.98900000000000
"06079",8.11561000000000
"06081",8.06645000000000
"06083",7.90892000000000
"06085",7.87114000000000
"06087",7.60875000000000
"06089",6.80648000000000
"06093",5.97287000000000
"06095",6.37003000000000
"06097",8.57381000000000
"06099",6.04239000000000
"06101",5.25486000000000
"06103",6.37296000000000
"06107",5.53474000000000
"06109",6.92013000000000
"06111",6.74810000000000
"06113",6.41832000000000
"06115",6.95304000000000
"08001",6.16011000000000
"08003",6.52285000000000
"08005",8.11973000000000
"08013",7.90568000000000
"08014",7.23359000000000
"08015",8.96188000000000
"08029",6.40039000000000
"08031",7.62092000000000
"08035",7.53766000000000
"08037",8.89445000000000
"08041",7.29439000000000
"08043",6.64388000000000
"08045",7.72691000000000
"08049",7.91299000000000
"08051",8.16399000000000
"08059",6.53101000000000
"08067",7.64496000000000
"08069",7.75656000000000
"08075",5.92253000000000
"08077",6.48571000000000
"08085",8.15098000000000
"08087",5.75494000000000
"08089",5.60590000000000
"08097",8.68428000000000
"08099",5.69205000000000
"08101",6.62007000000000
"08107",5.69820000000000
"08113",10.27435000000000
"08117",8.62897000000000
"08119",7.41062000000000
"08123",6.25353000000000
"09001",7.42475000000000
"09003",6.47798000000000
"09005",6.58183000000000
"09007",6.62608000000000
"09009",6.37623000000000
"09011",6.36856000000000
"09013",5.96148000000000
"09015",5.68144000000000
10001,6.04816000000000
10003,7.03266000000000
10005,6.31451000000000
11001,7.96667000000000
12001,7.19687000000000
12003,5.71125000000000
12005,7.12602000000000
12007,6.39521000000000
12009,6.99699000000000
12011,7.28088000000000
12015,6.59902000000000
12017,6.97146000000000
12019,6.37720000000000
12021,7.65825000000000
12023,6.63142000000000
12027,6.53917000000000
